timestamp_start,timestamp_end,keypoint_id,x_start,y_start,z_start,x_end,y_end,z_end,dx,dy,dz
4,9.0,5,177,209,-0.7034,171,236,-0.2581,-6,27,0.4453
4,9.0,6,174,208,-0.7033,168,236,-0.2579,-6,28,0.4454
4,9.0,7,201,217,-0.4033,189,244,-0.0496,-12,27,0.3537
4,9.0,8,169,212,-0.4409,166,238,-0.0058,-3,26,0.4351
4,9.0,9,189,225,-0.6409,179,251,-0.2305,-10,26,0.4104
4,9.0,10,176,222,-0.6521,169,248,-0.2183,-7,26,0.4338
4,9.0,11,222,261,-0.3221,194,281,-0.0466,-28,20,0.2755
4,9.0,12,144,261,-0.3098,143,264,0.1582,-1,3,0.468
4,9.0,13,284,270,-0.7208,210,320,-0.182,-74,50,0.5388
4,9.0,14,80,258,-0.7524,122,232,-0.0853,42,-26,0.6671
4,9.0,15,237,281,-1.1261,238,344,-0.4824,1,63,0.6437
4,9.0,16,135,273,-1.1707,102,208,-0.4708,-33,-65,0.6999
4,9.0,17,226,277,-1.2265,251,353,-0.5561,25,76,0.6704
4,9.0,18,148,273,-1.2674,94,198,-0.5514,-54,-75,0.716
4,9.0,19,224,272,-1.1753,253,352,-0.6094,29,80,0.5659
4,9.0,20,150,269,-1.2081,96,197,-0.572,-54,-72,0.6361
4,9.0,21,225,273,-1.115,247,351,-0.513,22,78,0.602
4,9.0,22,147,269,-1.157,99,202,-0.4993,-48,-67,0.6577
4,9.0,23,203,375,-0.0167,175,372,-0.0938,-28,-3,-0.0771
4,9.0,24,159,377,0.0162,140,372,0.0937,-19,-5,0.0775
4,9.0,25,200,464,-0.0023,181,444,-0.2059,-19,-20,-0.2036
4,9.0,26,160,463,0.0577,116,436,0.073,-44,-27,0.0153
4,9.0,27,189,550,0.342,194,518,-0.1289,5,-32,-0.4709
4,9.0,28,172,549,0.4143,105,498,0.2705,-67,-51,-0.1438
4,9.0,29,186,558,0.3587,197,527,-0.0854,11,-31,-0.4441
4,9.0,30,173,556,0.4379,110,508,0.2757,-63,-48,-0.1622
4,9.0,31,192,583,0.0538,182,545,-0.3331,-10,-38,-0.3869
4,9.0,32,175,583,0.1466,82,523,0.0618,-93,-60,-0.0848
5,10.0,0,185,263,-0.4762,142,252,-0.537,-43,-11,-0.0608
5,10.0,1,191,258,-0.4435,144,246,-0.4964,-47,-12,-0.0529
5,10.0,2,194,259,-0.4436,147,246,-0.4964,-47,-13,-0.0528
5,10.0,3,197,260,-0.4437,149,245,-0.4963,-48,-15,-0.0526
5,10.0,4,184,257,-0.4326,138,247,-0.4936,-46,-10,-0.061
5,10.0,5,182,256,-0.4327,136,248,-0.4936,-46,-8,-0.0609
5,10.0,6,181,256,-0.4326,134,249,-0.4937,-47,-7,-0.0611
5,10.0,7,204,265,-0.2563,155,249,-0.253,-49,-16,0.0033
5,10.0,8,180,259,-0.1988,133,254,-0.245,-47,-5,-0.0462
5,10.0,9,188,272,-0.4064,148,258,-0.4487,-40,-14,-0.0423
5,10.0,10,180,269,-0.3919,140,260,-0.4463,-40,-9,-0.0544
5,10.0,11,213,301,-0.24,183,272,-0.0387,-30,-29,0.2013
5,10.0,12,156,291,0.0077,130,298,-0.1757,-26,7,-0.1834
5,10.0,13,251,315,-0.4501,206,254,0.101,-45,-61,0.5511
5,10.0,14,103,287,-0.0312,112,327,-0.4325,9,40,-0.4013
5,10.0,15,267,312,-0.8289,222,233,0.1389,-45,-79,0.9678
5,10.0,16,101,249,-0.2388,85,345,-0.8577,-16,96,-0.6189
5,10.0,17,275,311,-0.9151,232,223,0.1429,-43,-88,1.058
5,10.0,18,100,236,-0.2901,71,354,-0.9254,-29,118,-0.6353
5,10.0,19,273,307,-0.9262,231,222,0.104,-42,-85,1.0302
5,10.0,20,106,234,-0.2995,68,352,-0.9756,-38,118,-0.6761
5,10.0,21,267,309,-0.8473,227,225,0.1214,-40,-84,0.9687
5,10.0,22,108,240,-0.2526,76,350,-0.8899,-32,110,-0.6373
5,10.0,23,199,387,-0.1388,196,374,0.0513,-3,-13,0.1901
5,10.0,24,167,391,0.1386,161,378,-0.0515,-6,-13,-0.1901
5,10.0,25,185,450,-0.2366,216,437,0.1638,31,-13,0.4004
5,10.0,26,137,448,0.1941,147,440,-0.062,10,-8,-0.2561
5,10.0,27,211,522,-0.0578,214,501,0.4271,3,-21,0.4849
5,10.0,28,160,512,0.5432,133,507,0.1427,-27,-5,-0.4005
5,10.0,29,223,533,-0.0455,210,512,0.4384,-13,-21,0.4839
5,10.0,30,170,522,0.5694,137,518,0.1515,-33,-4,-0.4179
5,10.0,31,195,540,-0.2435,234,513,0.2496,39,-27,0.4931
5,10.0,32,132,532,0.4248,118,524,-0.0489,-14,-8,-0.4737
6,11.0,0,145,253,-0.37,252,344,-0.2441,107,91,0.1259
6,11.0,1,151,249,-0.3446,253,336,-0.2171,102,87,0.1275
6,11.0,2,155,249,-0.3448,252,336,-0.2174,97,87,0.1274
6,11.0,3,158,250,-0.3447,252,335,-0.2177,94,85,0.127
6,11.0,4,144,247,-0.3204,251,336,-0.28,107,89,0.0404
6,11.0,5,142,247,-0.3203,250,335,-0.2801,108,88,0.0402
6,11.0,6,141,247,-0.3202,249,335,-0.2802,108,88,0.04
6,11.0,7,164,255,-0.1922,242,332,-0.076,78,77,0.1162
6,11.0,8,141,252,-0.0772,239,332,-0.3615,98,80,-0.2843
6,11.0,9,150,261,-0.3129,247,348,-0.1849,97,87,0.128
6,11.0,10,141,260,-0.2807,244,348,-0.2679,103,88,0.0128
6,11.0,11,178,288,-0.253,225,359,0.083,47,71,0.336
6,11.0,12,122,294,0.0894,202,361,-0.4443,80,67,-0.5337
6,11.0,13,152,301,-0.5548,246,400,0.1676,94,99,0.7224
6,11.0,14,91,309,0.0103,224,412,-0.4925,133,103,-0.5028
6,11.0,15,105,298,-0.83,265,439,0.0553,160,141,0.8853
6,11.0,16,63,326,-0.3391,260,449,-0.4621,197,123,-0.123
6,11.0,17,96,296,-0.9347,272,445,0.0485,176,149,0.9832
6,11.0,18,53,334,-0.4108,268,457,-0.5231,215,123,-0.1123
6,11.0,19,90,297,-0.9257,272,445,0.004,182,148,0.9297
6,11.0,20,55,334,-0.4622,271,453,-0.5132,216,119,-0.051
6,11.0,21,95,298,-0.834,269,444,0.0338,174,146,0.8678
6,11.0,22,59,332,-0.3749,268,450,-0.4573,209,118,-0.0824
6,11.0,23,172,388,-0.0548,181,427,0.1354,9,39,0.1902
6,11.0,24,131,387,0.0547,152,425,-0.1355,21,38,-0.1902
6,11.0,25,192,452,-0.3069,231,452,0.0709,39,0,0.3778
6,11.0,26,112,446,-0.1852,137,433,-0.8353,25,-13,-0.6501
6,11.0,27,177,518,-0.0598,194,500,0.4053,17,-18,0.4651
6,11.0,28,122,518,0.102,142,511,-0.6713,20,-7,-0.7733
6,11.0,29,169,526,-0.0502,184,504,0.4299,15,-22,0.4801
6,11.0,30,127,528,0.1151,137,519,-0.6581,10,-9,-0.7732
6,11.0,31,191,537,-0.2787,205,518,0.3694,14,-19,0.6481
6,11.0,32,106,541,-0.0865,156,538,-0.7939,50,-3,-0.7074
7,12.0,0,162,244,-0.214,132,236,0.1051,-30,-8,0.3191
7,12.0,1,167,238,-0.178,137,229,0.1741,-30,-9,0.3521
7,12.0,2,170,238,-0.178,140,228,0.1742,-30,-10,0.3522
7,12.0,3,172,238,-0.1781,142,228,0.1741,-30,-10,0.3522
7,12.0,4,161,238,-0.1743,129,230,0.1892,-32,-8,0.3635
7,12.0,5,159,238,-0.1743,127,231,0.1891,-32,-7,0.3634
7,12.0,6,156,238,-0.1745,125,231,0.1891,-31,-7,0.3636
7,12.0,7,178,241,0.0116,151,231,0.4037,-27,-10,0.3921
7,12.0,8,155,241,0.0064,127,234,0.4759,-28,-7,0.4695
7,12.0,9,167,252,-0.1514,137,242,0.1795,-30,-10,0.3309
7,12.0,10,159,251,-0.1493,128,243,0.1986,-31,-8,0.3479
7,12.0,11,196,268,0.015,173,256,0.3112,-23,-12,0.2962
7,12.0,12,137,278,0.0422,120,273,0.5429,-17,-5,0.5007
7,12.0,13,215,216,-0.1704,182,210,0.0898,-33,-6,0.2602
7,12.0,14,133,299,-0.2377,92,219,0.4657,-41,-80,0.7034
7,12.0,15,189,175,-0.1884,145,170,0.0756,-44,-5,0.264
7,12.0,16,129,266,-0.5693,116,175,0.474,-13,-91,1.0433
7,12.0,17,184,165,-0.2262,137,162,0.0208,-47,-3,0.247
7,12.0,18,131,256,-0.6378,122,164,0.4215,-9,-92,1.0593
7,12.0,19,182,165,-0.1886,135,164,0.0574,-47,-1,0.246
7,12.0,20,133,254,-0.6115,124,166,0.4601,-9,-88,1.0716
7,12.0,21,182,169,-0.179,136,167,0.0819,-46,-2,0.2609
7,12.0,22,135,258,-0.5707,123,171,0.474,-12,-87,1.0447
7,12.0,23,186,372,0.0511,160,359,-0.1229,-26,-13,-0.174
7,12.0,24,152,368,-0.0509,127,363,0.1233,-25,-5,0.1742
7,12.0,25,180,444,-0.0833,122,381,-0.9268,-58,-63,-0.8435
7,12.0,26,180,430,-0.4362,125,434,-0.3133,-55,4,0.1229
7,12.0,27,165,502,0.2538,145,462,-0.8841,-20,-40,-1.1379
7,12.0,28,164,496,-0.225,148,517,-0.3325,-16,21,-0.1075
7,12.0,29,157,507,0.2789,152,471,-0.8861,-5,-36,-1.165
7,12.0,30,157,499,-0.2094,155,528,-0.3515,-2,29,-0.1421
7,12.0,31,173,531,0.1071,139,482,-1.1456,-34,-49,-1.2527
7,12.0,32,170,524,-0.4292,132,542,-0.6401,-38,18,-0.2109
8,13.0,0,188,216,-0.3107,183,218,-0.03,-5,2,0.2807
8,13.0,1,191,210,-0.2628,184,213,0.0187,-7,3,0.2815
8,13.0,2,193,211,-0.2627,186,212,0.0184,-7,1,0.2811
8,13.0,3,196,211,-0.2628,187,212,0.0182,-9,1,0.281
8,13.0,4,184,209,-0.2738,177,213,-0.0034,-7,4,0.2704
8,13.0,5,181,209,-0.2737,174,214,-0.0034,-7,5,0.2703
8,13.0,6,178,210,-0.2735,171,214,-0.0035,-7,4,0.27
8,13.0,7,198,216,-0.0458,188,214,0.2522,-10,-2,0.298
8,13.0,8,171,213,-0.1059,165,218,0.1595,-6,5,0.2654
8,13.0,9,190,225,-0.2369,187,225,0.0578,-3,0,0.2947
8,13.0,10,181,225,-0.252,178,227,0.0306,-3,2,0.2826
8,13.0,11,210,256,0.0149,202,249,0.4252,-8,-7,0.4103
8,13.0,12,149,246,-0.0797,156,250,0.1563,7,4,0.236
8,13.0,13,244,270,-0.0017,207,285,0.5204,-37,15,0.5221
8,13.0,14,130,198,-0.2292,148,295,0.0919,18,97,0.3211
8,13.0,15,291,266,-0.2047,208,291,0.4257,-83,25,0.6304
8,13.0,16,151,151,-0.2927,140,334,-0.0994,-11,183,0.1933
8,13.0,17,301,261,-0.2615,210,294,0.406,-91,33,0.6675
8,13.0,18,155,136,-0.3584,136,343,-0.1507,-19,207,0.2077
8,13.0,19,299,257,-0.3111,210,289,0.373,-89,32,0.6841
8,13.0,20,162,137,-0.3417,138,343,-0.1786,-24,206,0.1631
8,13.0,21,295,260,-0.2388,208,288,0.4074,-87,28,0.6462
8,13.0,22,162,143,-0.3005,144,334,-0.1137,-18,191,0.1868
8,13.0,23,190,350,-0.0019,190,327,0.083,0,-23,0.0849
8,13.0,24,154,350,0.002,165,324,-0.0826,11,-26,-0.0846
8,13.0,25,182,424,-0.0357,180,394,-0.1108,-2,-30,-0.0751
8,13.0,26,152,426,-0.0449,180,394,-0.371,28,-32,-0.3261
8,13.0,27,174,497,0.1451,166,464,-0.1066,-8,-33,-0.2517
8,13.0,28,157,493,0.1499,187,468,-0.4018,30,-25,-0.5517
8,13.0,29,174,505,0.148,161,472,-0.1192,-13,-33,-0.2672
8,13.0,30,161,501,0.1566,184,477,-0.413,23,-24,-0.5696
8,13.0,31,174,525,-0.1327,168,491,-0.2988,-6,-34,-0.1661
8,13.0,32,152,521,-0.0618,195,490,-0.6336,43,-31,-0.5718
9,14.0,0,175,242,-0.3103,186,227,-0.3427,11,-15,-0.0324
