timestamp_sec,joint,angle_diff_deg
11.0,left_elbow,148.15
11.0,right_elbow,148.17
11.0,left_shoulder,56.48
11.0,right_shoulder,-18.99
11.0,left_knee,-15.05
11.0,right_knee,69.43
11.067,left_elbow,137.2
11.067,right_elbow,119.98
11.067,left_shoulder,89.04
11.067,right_shoulder,80.76
11.067,left_knee,1.91
11.067,right_knee,33.57
11.1,left_elbow,132.49
11.1,right_elbow,125.47
11.1,left_shoulder,99.16
11.1,right_shoulder,90.63
11.1,left_knee,-3.49
11.1,right_knee,11.8
11.167,left_elbow,148.41
11.167,right_elbow,126.66
11.167,left_shoulder,90.81
11.167,right_shoulder,97.11
11.167,left_knee,-5.52
11.167,right_knee,9.39
11.333,left_elbow,57.55
11.333,right_elbow,45.04
11.333,left_shoulder,42.39
11.333,right_shoulder,102.45
11.333,left_knee,-42.9
11.333,right_knee,16.12
11.4,left_elbow,-8.75
11.4,right_elbow,25.07
11.4,left_shoulder,138.8
11.4,right_shoulder,101.01
11.4,left_knee,-42.48
11.4,right_knee,44.58
11.433,left_elbow,9.55
11.433,right_elbow,81.15
11.433,left_shoulder,18.86
11.433,right_shoulder,142.82
11.433,left_knee,-39.65
11.433,right_knee,35.73
11.5,left_elbow,1.08
11.5,right_elbow,117.33
11.5,left_shoulder,13.55
11.5,right_shoulder,123.73
11.5,left_knee,-57.69
11.5,right_knee,17.49
11.567,left_elbow,5.02
11.567,right_elbow,-31.14
11.567,left_shoulder,14.26
11.567,right_shoulder,61.91
11.567,left_knee,-66.69
11.567,right_knee,-4.6
11.6,left_elbow,2.0
11.6,right_elbow,-36.88
11.6,left_shoulder,9.69
11.6,right_shoulder,65.56
11.6,left_knee,-91.78
11.6,right_knee,-7.58
11.667,left_elbow,-0.57
11.667,right_elbow,-40.69
11.667,left_shoulder,2.84
11.667,right_shoulder,76.16
11.667,left_knee,-100.62
11.667,right_knee,-17.87
11.833,left_elbow,13.19
11.833,right_elbow,-8.85
11.833,left_shoulder,4.98
11.833,right_shoulder,82.49
11.833,left_knee,-111.27
11.833,right_knee,-40.93
11.9,left_elbow,103.88
11.9,right_elbow,75.77
11.9,left_shoulder,56.43
11.9,right_shoulder,90.86
11.9,left_knee,-87.57
11.9,right_knee,-14.88
11.933,left_elbow,105.02
11.933,right_elbow,90.18
